settlement_id,payment_id,settlement_date,amount,currency
stl_0064,pay_0068,2026-09-03,1050.43,EUR
stl_0065,pay_0069,2026-09-03,16591.72,ILS
stl_0066,pay_0070,2026-09-04,2862.56,EUR
stl_0067,pay_0071,2026-09-03,2635.72,USD
stl_0068,pay_0072,2026-09-05,6484.89,ILS
stl_0069,pay_0073,2026-09-05,11627.91,ILS
stl_0070,pay_0075,2026-09-04,3411.95,USD
stl_0071,pay_0076,2026-09-05,308.96,EUR
stl_0072,pay_0077,2026-09-04,2404.55,EUR
stl_0073,pay_0078,2026-09-04,10102.32,ILS
stl_0074,pay_0079,2026-09-07,4643.84,USD
stl_0075,pay_0080,2026-09-04,4548.94,ILS
stl_0076,pay_0081,2026-09-04,4764.43,USD
stl_0077,pay_0082,2026-09-07,1175.38,EUR
stl_0078,pay_0084,2026-09-07,4212.42,EUR
stl_0079,pay_0085,2026-09-07,3046.33,EUR
stl_0080,pay_0086,2026-09-08,974.20,EUR
stl_0081,pay_0087,2026-09-07,11258.93,ILS
stl_0082,pay_0088,2026-09-08,592.07,EUR
stl_0083,pay_0089,2026-09-08,5005.80,USD
stl_0084,pay_0090,2026-09-08,4984.72,USD
stl_0085,pay_0091,2026-09-07,4735.71,USD
stl_0086,pay_0092,2026-09-07,3552.32,USD
stl_0087,pay_0093,2026-09-07,1345.33,EUR
stl_0088,pay_0094,2026-09-09,4376.85,USD
stl_0089,pay_0095,2026-09-08,331.72,USD
stl_0090,pay_0096,2026-09-09,4101.49,EUR
stl_0091,pay_0099,2026-09-09,4199.74,EUR
stl_0092,pay_0100,2026-09-09,820.78,USD
stl_0093,pay_0102,2026-09-10,3197.44,ILS
stl_0094,pay_0103,2026-09-08,16005.27,ILS
stl_0095,pay_0104,2026-09-15,1426.37,EUR
stl_0096,pay_0105,2026-09-08,943.34,ILS
stl_0097,pay_0106,2026-09-09,1153.29,EUR
stl_0098,pay_0107,2026-09-08,925.77,USD
stl_0099,pay_0108,2026-09-10,458.42,EUR
stl_0100,pay_0109,2026-09-10,2170.57,EUR
stl_0101,pay_0110,2026-09-10,4577.31,EUR
stl_0102,pay_0111,2026-09-10,3267.00,EUR
stl_0103,pay_0112,2026-09-10,750.13,USD
stl_0104,pay_0113,2026-09-10,1336.38,EUR
stl_0105,pay_0114,2026-09-09,1786.00,USD
stl_0106,pay_0115,2026-09-10,3363.27,USD
stl_0107,pay_0116,2026-09-11,1512.76,EUR
stl_0108,pay_0117,2026-09-12,1084.11,USD
stl_0109,pay_0118,2026-09-12,8016.13,ILS
stl_0110,pay_0119,2026-09-12,3913.53,USD
stl_0111,pay_0120,2026-09-11,3605.09,USD
stl_0112,pay_0121,2026-09-11,1851.47,USD
stl_0113,pay_0122,2026-09-11,3832.01,USD
stl_0114,pay_0123,2026-09-10,15252.14,ILS
stl_0115,pay_0124,2026-09-14,4456.56,EUR
stl_0116,pay_0125,2026-09-14,4259.44,USD
stl_0117,pay_0126,2026-09-14,2210.89,EUR
stl_0118,pay_0127,2026-09-14,2473.98,EUR
stl_0119,pay_0128,2026-09-14,2277.37,USD
stl_0120,pay_0129,2026-09-14,2876.31,EUR
stl_0121,pay_0130,2026-09-13,418.65,ILS
stl_0122,pay_0131,2026-09-14,3449.35,EUR
stl_0123,pay_0132,2026-09-15,511.34,EUR
stl_0124,pay_0133,2026-09-15,2704.38,USD
stl_0125,pay_0134,2026-09-14,12877.48,ILS
stl_0126,pay_0135,2026-09-14,14817.99,ILS
stl_0127,pay_0136,2026-09-15,1914.69,USD
stl_0128,pay_0137,2026-09-14,412.77,USD
stl_0129,pay_0138,2026-09-15,1417.90,EUR
stl_0130,pay_0139,2026-09-14,18986.40,ILS
stl_0131,pay_0140,2026-09-14,12177.38,ILS
stl_0132,pay_0141,2026-09-15,4276.04,EUR
stl_0133,pay_0142,2026-09-16,802.52,EUR
stl_0134,pay_0143,2026-09-15,2136.08,USD
stl_0135,pay_0144,2026-09-16,353.82,EUR
stl_0136,pay_0145,2026-09-16,3037.27,EUR
stl_0137,pay_0147,2026-09-16,4564.21,EUR
stl_0138,pay_0149,2026-09-16,1479.86,EUR
stl_0139,pay_0150,2026-09-16,3676.90,USD
stl_0140,pay_0153,2026-09-16,1576.31,EUR
stl_0141,pay_0154,2026-09-15,18934.58,ILS
stl_0142,pay_0159,2026-09-16,9890.84,ILS
stl_0143,pay_0227,2026-09-17,3030.24,EUR
stl_0144,pay_0228,2026-09-17,4143.66,EUR
stl_0145,pay_0229,2026-09-17,5051.69,USD
stl_0146,pay_0230,2026-09-17,3450.75,EUR
stl_0147,pay_0231,2026-09-17,1220.50,USD
stl_0148,pay_0232,2026-09-17,2731.58,USD
stl_0149,pay_0233,2026-09-17,12300.09,ILS
stl_0150,pay_0234,2026-09-17,2722.07,ILS
stl_0151,pay_0235,2026-09-17,13999.61,ILS
stl_0152,pay_0236,2026-09-17,2196.19,USD
stl_0153,pay_0237,2026-09-17,8699.84,ILS
stl_0154,pay_0238,2026-09-17,2409.68,EUR
stl_0155,pay_0239,2026-09-17,11696.86,ILS
stl_0156,pay_0240,2026-09-17,7124.71,ILS
stl_0157,pay_0241,2026-09-17,8157.31,ILS
stl_0158,pay_0242,2026-09-17,2640.20,USD
stl_0159,pay_0243,2026-09-17,8512.02,ILS
