payment_id,provider,payment_date,amount,currency
pay_0086,PSP_A,2026-09-04,974.20,EUR
pay_0087,PSP_B,2026-09-04,11258.93,ILS
pay_0088,PSP_A,2026-09-04,592.07,EUR
pay_0089,PSP_A,2026-09-04,5005.80,USD
pay_0090,PSP_A,2026-09-04,4984.72,USD
pay_0091,PSP_B,2026-09-04,4735.71,USD
pay_0092,PSP_C,2026-09-04,3552.32,USD
pay_0093,PSP_C,2026-09-04,1345.33,EUR
pay_0094,PSP_A,2026-09-05,4376.85,USD
pay_0095,PSP_C,2026-09-05,331.72,USD
pay_0096,PSP_A,2026-09-05,4101.49,EUR
pay_0097,PSP_C,2026-09-06,9237.10,ILS
pay_0098,PSP_B,2026-09-06,1037.01,ILS
pay_0099,PSP_A,2026-09-06,4199.74,EUR
pay_0100,PSP_A,2026-09-06,820.78,USD
pay_0101,PSP_C,2026-09-07,1524.74,EUR
pay_0102,PSP_C,2026-09-07,3197.44,ILS
pay_0103,PSP_B,2026-09-07,16005.27,ILS
pay_0104,PSP_A,2026-09-07,1426.37,EUR
pay_0105,PSP_B,2026-09-07,943.34,ILS
pay_0106,PSP_A,2026-09-07,1153.29,EUR
pay_0107,PSP_B,2026-09-07,925.77,USD
pay_0108,PSP_C,2026-09-07,458.42,EUR
pay_0109,PSP_C,2026-09-07,2170.57,EUR
pay_0110,PSP_A,2026-09-08,4577.31,EUR
pay_0111,PSP_A,2026-09-08,3267.00,EUR
pay_0112,PSP_A,2026-09-08,750.13,USD
pay_0113,PSP_A,2026-09-08,1336.38,EUR
pay_0114,PSP_B,2026-09-08,1786.00,USD
pay_0115,PSP_A,2026-09-08,3363.27,USD
pay_0116,PSP_A,2026-09-09,1512.76,EUR
pay_0117,PSP_C,2026-09-09,1084.11,USD
pay_0118,PSP_C,2026-09-09,8016.13,ILS
pay_0119,PSP_C,2026-09-09,3913.53,USD
pay_0120,PSP_A,2026-09-09,3605.09,USD
pay_0121,PSP_A,2026-09-09,1851.47,USD
pay_0122,PSP_A,2026-09-09,3832.01,USD
pay_0123,PSP_B,2026-09-09,15252.14,ILS
pay_0124,PSP_A,2026-09-10,4456.56,EUR
pay_0125,PSP_A,2026-09-10,4259.44,USD
pay_0126,PSP_A,2026-09-10,2210.89,EUR
pay_0127,PSP_A,2026-09-10,2473.98,EUR
pay_0128,PSP_A,2026-09-10,2277.37,USD
pay_0129,PSP_A,2026-09-10,2876.31,EUR
pay_0130,PSP_C,2026-09-10,418.65,ILS
pay_0131,PSP_A,2026-09-10,3449.35,EUR
pay_0132,PSP_A,2026-09-11,511.34,EUR
pay_0133,PSP_A,2026-09-11,2704.38,USD
pay_0134,PSP_B,2026-09-11,12877.48,ILS
pay_0135,PSP_B,2026-09-11,14817.99,ILS
pay_0136,PSP_A,2026-09-11,1914.69,USD
pay_0137,PSP_C,2026-09-11,412.77,USD
pay_0138,PSP_A,2026-09-11,1417.90,EUR
pay_0139,PSP_B,2026-09-11,18986.40,ILS
pay_0140,PSP_C,2026-09-11,12177.38,ILS
pay_0141,PSP_A,2026-09-11,4276.04,EUR
pay_0142,PSP_A,2026-09-12,802.52,EUR
pay_0143,PSP_C,2026-09-12,2136.08,USD
pay_0144,PSP_A,2026-09-12,353.82,EUR
pay_0145,PSP_C,2026-09-13,3037.27,EUR
pay_0146,PSP_A,2026-09-13,376.78,EUR
pay_0147,PSP_A,2026-09-13,4564.21,EUR
pay_0148,PSP_C,2026-09-14,3800.49,EUR
pay_0149,PSP_A,2026-09-14,1479.86,EUR
pay_0150,PSP_A,2026-09-14,3676.90,USD
pay_0151,PSP_A,2026-09-14,3397.19,USD
pay_0152,PSP_B,2026-09-14,1335.95,USD
pay_0153,PSP_A,2026-09-14,1576.31,EUR
pay_0154,PSP_B,2026-09-14,18934.58,ILS
pay_0155,PSP_A,2026-09-15,706.47,USD
pay_0156,PSP_A,2026-09-15,4733.72,USD
pay_0157,PSP_C,2026-09-15,4206.25,EUR
pay_0158,PSP_A,2026-09-15,4210.40,EUR
pay_0159,PSP_B,2026-09-15,9890.84,ILS
pay_0160,PSP_C,2026-09-15,517.16,EUR
pay_0161,PSP_A,2026-09-16,3358.90,EUR
pay_0162,PSP_A,2026-09-16,660.72,EUR
pay_0163,PSP_B,2026-09-16,14283.31,ILS
pay_0164,PSP_A,2026-09-16,1774.61,EUR
pay_0165,PSP_C,2026-09-16,664.24,EUR
pay_0166,PSP_A,2026-09-16,3640.02,EUR
pay_0167,PSP_B,2026-09-16,1540.20,USD
pay_0168,PSP_A,2026-09-16,4695.04,EUR
pay_0169,PSP_B,2026-09-17,1946.15,USD
pay_0170,PSP_B,2026-09-17,3094.24,USD
pay_0171,PSP_C,2026-09-17,4181.28,EUR
pay_0172,PSP_A,2026-09-17,3571.68,EUR
pay_0173,PSP_A,2026-09-17,1086.20,EUR
pay_0174,PSP_A,2026-09-17,1844.49,EUR
pay_0175,PSP_A,2026-09-17,3480.49,EUR
pay_0176,PSP_C,2026-09-17,4198.85,EUR
pay_0177,PSP_C,2026-09-18,468.92,ILS
pay_0178,PSP_A,2026-09-18,4011.78,EUR
pay_0179,PSP_A,2026-09-18,2852.08,EUR
pay_0180,PSP_A,2026-09-18,3073.99,USD
pay_0181,PSP_C,2026-09-18,16800.02,ILS
pay_0182,PSP_C,2026-09-18,3356.33,USD
pay_0183,PSP_A,2026-09-18,3154.92,EUR
pay_0184,PSP_C,2026-09-18,1650.25,USD
pay_0185,PSP_C,2026-09-19,18965.22,ILS
pay_0186,PSP_C,2026-09-19,3245.52,EUR
pay_0187,PSP_A,2026-09-20,526.85,EUR
pay_0188,PSP_C,2026-09-20,7647.17,ILS
pay_0189,PSP_B,2026-09-20,1064.52,USD
pay_0190,PSP_B,2026-09-20,17512.31,ILS
pay_0191,PSP_B,2026-09-21,1708.02,USD
pay_0192,PSP_A,2026-09-21,2093.37,USD
pay_0193,PSP_A,2026-09-21,415.54,EUR
pay_0194,PSP_B,2026-09-21,2621.32,ILS
pay_0195,PSP_C,2026-09-21,3721.71,USD
pay_0196,PSP_B,2026-09-21,7042.24,ILS
pay_0197,PSP_C,2026-09-21,540.34,EUR
pay_0198,PSP_B,2026-09-21,3053.42,USD
pay_0199,PSP_A,2026-09-22,3344.80,EUR
pay_0200,PSP_B,2026-09-22,994.17,ILS
pay_0201,PSP_A,2026-09-22,3456.26,EUR
pay_0202,PSP_A,2026-09-22,1023.32,EUR
pay_0203,PSP_A,2026-09-22,1667.38,USD
pay_0204,PSP_A,2026-09-22,1353.32,EUR
pay_0205,PSP_C,2026-09-22,2910.67,USD
pay_0206,PSP_A,2026-09-22,2682.73,EUR
pay_0207,PSP_B,2026-09-22,3780.64,ILS
pay_0208,PSP_A,2026-09-23,856.85,EUR
pay_0209,PSP_C,2026-09-23,14257.84,ILS
pay_0210,PSP_B,2026-09-23,15484.21,ILS
pay_0211,PSP_C,2026-09-23,4312.96,ILS
pay_0212,PSP_C,2026-09-23,10253.97,ILS
pay_0213,PSP_A,2026-09-23,2532.04,EUR
pay_0214,PSP_C,2026-09-23,1387.40,USD
pay_0215,PSP_B,2026-09-23,17643.73,ILS
pay_0216,PSP_C,2026-09-23,3543.82,EUR
pay_0217,PSP_A,2026-09-24,4077.97,EUR
pay_0218,PSP_C,2026-09-24,3299.02,EUR
pay_0219,PSP_A,2026-09-24,801.95,EUR
pay_0220,PSP_A,2026-09-24,3924.28,EUR
pay_0221,PSP_A,2026-09-24,1142.82,EUR
pay_0222,PSP_C,2026-09-24,11079.42,ILS
pay_0223,PSP_A,2026-09-24,2637.89,EUR
pay_0224,PSP_B,2026-09-24,10002.35,ILS
pay_0225,PSP_A,2026-09-24,4493.05,EUR
pay_0226,PSP_A,2026-09-15,3262.44,EUR
pay_0227,PSP_A,2026-09-15,3030.24,EUR
pay_0228,PSP_A,2026-09-15,4143.66,EUR
pay_0229,PSP_A,2026-09-15,5051.69,USD
pay_0230,PSP_A,2026-09-15,3450.75,EUR
pay_0231,PSP_A,2026-09-15,1220.50,USD
pay_0232,PSP_B,2026-09-16,2731.58,USD
pay_0233,PSP_B,2026-09-16,12300.09,ILS
pay_0234,PSP_B,2026-09-16,2722.07,ILS
pay_0235,PSP_B,2026-09-16,13999.61,ILS
pay_0236,PSP_B,2026-09-16,2196.19,USD
pay_0237,PSP_B,2026-09-16,8699.84,ILS
pay_0238,PSP_C,2026-09-14,2409.68,EUR
pay_0239,PSP_C,2026-09-14,11696.86,ILS
pay_0240,PSP_C,2026-09-14,7124.71,ILS
pay_0241,PSP_C,2026-09-14,8157.31,ILS
pay_0242,PSP_C,2026-09-14,2640.20,USD
pay_0243,PSP_C,2026-09-14,8512.02,ILS
